tX,tY,tZ,rX,rY,rZ,rW,time(s)
0.66,8.98,-3.13,0.7071068,0,0,0.7071068,0
0.6602158,8.979771,-3.129432,0.7071068,0,0,0.7071068,0.0333334
0.6605645,8.979515,-3.128569,0.7071068,0,0,0.7071068,0.0666668
0.6608406,8.979643,-3.127752,0.7071068,0,0,0.7071068,0.1000002
0.660745,8.979656,-3.126632,0.7071068,0,0,0.7071068,0.1333336
0.6610922,8.979597,-3.126031,0.7071068,0,0,0.7071068,0.166667
0.6608968,8.979612,-3.125045,0.7071068,0,0,0.7071068,0.2000004
0.6607087,8.979176,-3.124273,0.7071068,0,0,0.7071068,0.2333338
0.660629,8.97872,-3.123188,0.7071068,0,0,0.7071068,0.2666672
0.6607419,8.979174,-3.122097,0.7071068,0,0,0.7071068,0.3000006
0.6605186,8.978918,-3.121009,0.7071068,0,0,0.7071068,0.333334
0.6608165,8.978992,-3.120492,0.7071068,0,0,0.7071068,0.3666674
0.6608461,8.979275,-3.119272,0.7071068,0,0,0.7071068,0.4000008
0.6609491,8.979361,-3.118662,0.7071068,0,0,0.7071068,0.4333342
0.6607296,8.97897,-3.118002,0.7071068,0,0,0.7071068,0.4666676
0.6610857,8.978773,-3.117431,0.7071068,0,0,0.7071068,0.500001
0.6615703,8.978603,-3.1163,0.7071068,0,0,0.7071068,0.5333344
0.6619062,8.978667,-3.115649,0.7071068,0,0,0.7071068,0.5666678
0.6620883,8.978987,-3.114847,0.7071068,0,0,0.7071068,0.6000012
0.6619709,8.979203,-3.113511,0.7071068,0,0,0.7071068,0.6333346
0.6625119,8.978957,-3.112359,0.7071068,0,0,0.7071068,0.6666679
0.6625014,8.978745,-3.111477,0.7071068,0,0,0.7071068,0.7000014
0.6630471,8.978676,-3.110867,0.7071068,0,0,0.7071068,0.7333348
0.6628443,8.978926,-3.109676,0.7071068,0,0,0.7071068,0.7666681
0.6631345,8.978646,-3.108286,0.7071068,0,0,0.7071068,0.8000016
0.6632144,8.978904,-3.106852,0.7071068,0,0,0.7071068,0.833335
0.6637154,8.978508,-3.105802,0.7071068,0,0,0.7071068,0.8666683
0.6635743,8.978359,-3.104458,0.7071068,0,0,0.7071068,0.9000018
0.6637748,8.978189,-3.103687,0.7071068,0,0,0.7071068,0.9333352
0.6639094,8.97792,-3.102435,0.7071068,0,0,0.7071068,0.9666685
0.663974,8.97839,-3.101828,0.7071068,0,0,0.7071068,1.000002
0.664742,8.978148,-3.100694,0.7071068,0,0,0.7071068,1.033335
0.6649407,8.977687,-3.099719,0.7071068,0,0,0.7071068,1.066669
0.6650788,8.977228,-3.099223,0.7071068,0,0,0.7071068,1.100002
0.6652618,8.976836,-3.098178,0.7071068,0,0,0.7071068,1.133336
0.6654968,8.97663,-3.097549,0.7071068,0,0,0.7071068,1.166669
0.6662417,8.97621,-3.097078,0.7071068,0,0,0.7071068,1.200002
0.6669885,8.976378,-3.096474,0.7071068,0,0,0.7071068,1.233336
0.6671497,8.976444,-3.095717,0.7071068,0,0,0.7071068,1.266669
0.6681402,8.976321,-3.094658,0.7071068,0,0,0.7071068,1.300003
0.6688898,8.976582,-3.093526,0.7071068,0,0,0.7071068,1.333336
0.6693416,8.976814,-3.092284,0.7071068,0,0,0.7071068,1.366669
0.6695389,8.976637,-3.091826,0.7071068,0,0,0.7071068,1.400003
0.6700184,8.9768,-3.091488,0.7071068,0,0,0.7071068,1.433336
0.6709008,8.976584,-3.090262,0.7071068,0,0,0.7071068,1.46667
0.6720313,8.976528,-3.089821,0.7071068,0,0,0.7071068,1.500003
0.6724673,8.976651,-3.089363,0.7071068,0,0,0.7071068,1.533336
0.6730492,8.976955,-3.088717,0.7071068,0,0,0.7071068,1.56667
0.6734397,8.976933,-3.087759,0.7071068,0,0,0.7071068,1.600003
0.6745778,8.97739,-3.086612,0.7071068,0,0,0.7071068,1.633337
0.6750206,8.977772,-3.086032,0.7071068,0,0,0.7071068,1.66667
0.676033,8.977584,-3.085846,0.7071068,0,0,0.7071068,1.700003
0.6763467,8.977354,-3.085254,0.7071068,0,0,0.7071068,1.733337
0.6769786,8.977261,-3.084537,0.7071068,0,0,0.7071068,1.76667
0.6774341,8.97753,-3.083862,0.7071068,0,0,0.7071068,1.800004
0.6787494,8.977994,-3.082971,0.7071068,0,0,0.7071068,1.833337
0.6798054,8.978601,-3.082438,0.7071068,0,0,0.7071068,1.86667
0.6806884,8.979252,-3.081783,0.7071068,0,0,0.7071068,1.900004
0.6812744,8.979205,-3.081633,0.7071068,0,0,0.7071068,1.933337
0.6817108,8.979143,-3.08075,0.7071068,0,0,0.7071068,1.966671
0.6828392,8.979947,-3.080251,0.7071068,0,0,0.7071068,2.000004
0.6836545,8.980226,-3.08005,0.7071068,0,0,0.7071068,2.033337
0.6842207,8.980204,-3.079156,0.7071068,0,0,0.7071068,2.066671
0.6853819,8.980336,-3.079198,0.7071068,0,0,0.7071068,2.100004
0.6862459,8.980928,-3.078374,0.7071068,0,0,0.7071068,2.133337
0.6875596,8.981418,-3.077621,0.7071068,0,0,0.7071068,2.166671
0.6888231,8.981687,-3.077689,0.7071068,0,0,0.7071068,2.200004
